,电影名称,年份,年度票房,国家地区,主类型,作品类型,片长,导演,演员
0,007:大破天幕杀机,2013,37612.7,英国/美国,动作,动作/冒险/惊悚,143,萨姆·门德斯,丹尼尔·克雷格/拉尔夫·费因斯/哈维尔·巴登/玛吉·史密斯
1,X战警:天启,2016,80283.54,美国,动作,动作/科幻/冒险,143,布莱恩·辛格,迈克尔·法斯宾德/詹姆斯·麦卡沃伊/詹妮弗·劳伦斯/尼古拉斯·霍尔特
2,X战警:逆转未来,2014,72296.12,美国,科幻,科幻/动作/冒险,129,布莱恩·辛格,休·杰克曼/詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯
3,—出好戏,2018,135504.77,中国,喜剧,喜剧,134,黄渤,黄渤/舒淇/王宝强/张艺兴
4,一九四二,2012,36994.02,中国,剧情,剧情/历史/战争,145,冯小刚/韩阳/左懿/顾海平,张国立/徐帆/陈道明/李雪健
5,一步之遥,2014,49195.22,中国,喜剧,喜剧/歌舞/爱情,140,姜文/崔紫雄,姜文/葛优/王志文/周韵
6,一点就到家,2020,31216.1,中国,剧情,剧情/青春/喜剧/主旋律,97,许宏宇,刘昊然/彭昱畅/尹昉/谭卓/李佳琦/张琪
7,万里归途,2022,159304.66,中国,剧情,剧情/战争/主旋律,137,饶晓志,张译/王俊凯/殷桃/成泰燊/张子贤/陈吴宇/王迅
8,中国医生,2021,132818.97,中国,剧情,剧情/主旋律,129,刘伟强,张涵予/袁泉/朱亚文/李晨/易烽千玺/欧豪/周也
9,中国合伙人,2013,53879.0,中国,剧情,剧情/青春/爱情/励志/友情/主旋律,112,陈可辛,黄晓明/佟大为/邓超/杜鹃/乔治·安东
10,中国机长,2019,290354.36,中国,剧情,剧情/灾难/主旋律,111,刘伟强,张涵予/袁泉/欧豪/杜江/张天爱/李沁
11,乘风破浪,2017,104852.84,中国,剧情,剧情,102,韩寒/张洪伟,邓超/董子健/赵丽颖/李荣浩/张本煜/彭于晏
12,九层妖塔,2015,68292.98,中国,动作,动作/惊悚/奇幻/冒险,117,陆川/程浩/玮子,姚晨/赵又廷/凤小岳/李晨/唐嫣
